"","MEMBERSHIP_ID","tot_mem","COHORT_MONTH","MEMBERSHIP_TYPE_CODE","MEMBERSHIP_TYPE_DESC","JOIN_DATE","TENURE_GRP","RENEW_IND","LAST_RENEW_DATE","RENEW_DATE","NEXT_RENEW_DATE","PLUS_STATUS_BEFORE_REN","PLUS_STATUS_AFTER_REN","PLUS_MEMBERSHIP_IND","PLUS_UPGRADE_DATE","autorenew_ind","payroll_deduct_ind"
"1",154624,1128523.3,"2018-01",3,"BUSINESS","2014-01-10","3+","RENEWED BASE","2018-01-02","2018-01-02","2019-01-10","PLUS","BASE","N","2016-12-31","N","N"
"2",4314,415595.78,"2018-01",3,"BUSINESS","2000-03-14","3+","RENEWED PLUS","2018-01-11","2018-01-11","2019-01-12","PLUS","PLUS","Y","?","N","N"
"3",82448,243432.24,"2018-01",3,"BUSINESS","2008-01-28","3+","RENEWED PLUS","2017-12-20","2017-12-20","2019-01-28","PLUS","PLUS","Y","2010-07-10","N","N"
"4",71502,178377.39,"2018-01",3,"BUSINESS","2007-01-16","3+","RENEWED PLUS","2018-01-06","2018-01-06","2019-01-16","PLUS","PLUS","Y","?","Y","N"
"5",70383,160892.23,"2018-01",3,"BUSINESS","2007-01-08","3+","UNRENEWED","2017-01-03","?","2018-01-08","PLUS","?","Y","?","N","N"
"6",71980,145560.63,"2018-01",3,"BUSINESS","2007-01-20","3+","RENEWED PLUS","2018-01-24","2018-01-24","2019-01-20","PLUS","PLUS","Y","2014-02-15","N","N"
"7",89756,120454.22,"2018-01",3,"BUSINESS","2009-01-02","3+","RENEWED PLUS","2018-01-02","2017-12-30","2019-01-02","PLUS","PLUS","Y","?","Y","N"
"8",160437,118991.89,"2018-01",3,"BUSINESS","2014-01-29","3+","RENEWED PLUS","2018-01-05","2018-01-05","2019-01-29","PLUS","PLUS","Y","2014-09-02","N","N"
"9",225083,102134.31,"2018-01",3,"BUSINESS","2017-01-14","1","RENEWED PLUS","2018-01-14","2018-01-14","2019-01-14","PLUS","PLUS","Y","?","N","N"
"10",25051,96363.67,"2018-01",3,"BUSINESS","1992-01-22","3+","RENEWED PLUS","2017-12-23","2017-12-23","2019-01-22","PLUS","PLUS","Y","2014-06-13","N","N"
"11",177978,77567.38,"2018-01",3,"BUSINESS","2015-01-22","3","RENEWED PLUS","2018-02-07","2018-02-07","2019-01-22","PLUS","PLUS","Y","?","N","N"
"12",153786,66255.6,"2018-01",3,"BUSINESS","2014-01-08","3+","RENEWED PLUS","2018-01-08","2018-01-05","2019-01-08","PLUS","PLUS","Y","?","Y","N"
"13",199744,61865.01,"2018-01",3,"BUSINESS","2016-01-24","2","RENEWED PLUS","2018-01-14","2018-01-14","2019-01-24","PLUS","PLUS","Y","?","Y","N"
"14",193694,56802.72,"2018-01",3,"BUSINESS","2016-01-13","2","RENEWED PLUS","2018-01-16","2018-01-16","2019-01-13","PLUS","PLUS","Y","2016-07-11","N","N"
"15",43318,56068.48,"2018-01",3,"BUSINESS","2004-01-30","3+","RENEWED PLUS","2018-01-29","2018-01-29","2019-01-29","PLUS","PLUS","Y","2013-12-03","N","N"
"16",113114,55868.68,"2018-01",3,"BUSINESS","2011-01-06","3+","RENEWED PLUS","2017-12-29","2017-12-29","2019-01-06","PLUS","PLUS","Y","2014-06-12","N","N"
"17",227730,54101.62,"2018-01",3,"BUSINESS","2017-01-15","1","RENEWED PLUS","2018-03-03","2018-03-03","2019-01-15","PLUS","PLUS","Y","?","N","N"
"18",173198,52388.24,"2018-01",3,"BUSINESS","2015-01-09","3","RENEWED PLUS","2018-01-09","2018-01-06","2019-01-09","PLUS","PLUS","Y","?","Y","N"
"19",93813,50850.42,"2018-01",3,"BUSINESS","2009-01-22","3+","RENEWED PLUS","2018-01-16","2018-01-16","2019-01-22","PLUS","PLUS","Y","2014-05-08","N","N"
"20",5797,49334.37,"2018-01",3,"BUSINESS","2000-09-27","3+","RENEWED PLUS","2017-12-19","2017-12-19","2019-01-16","PLUS","PLUS","Y","2012-04-25","N","N"
"21",220286,48923.36,"2018-01",3,"BUSINESS","2017-01-11","1","RENEWED PLUS","2017-12-05","2017-12-05","2019-01-11","PLUS","PLUS","Y","?","N","N"
