"COHORT_MONTH","MEMBERSHIP_ID","MEMBERSHIP_TYPE_CODE","MEMBERSHIP_TYPE_DESC","JOIN_DATE","TENURE_GRP","RENEW_IND","LAST_RENEW_DATE","RENEW_DATE","NEXT_RENEW_DATE","PLUS_STATUS_BEFORE_REN","PLUS_STATUS_AFTER_REN","PLUS_MEMBERSHIP_IND","PLUS_UPGRADE_DATE","autorenew_ind","payroll_deduct_ind"
"2018-01",220576,3,"BUSINESS","2017-01-11","1","UNRENEWED","2017-01-11","?","2019-08-31","PLUS","?","Y","?","N","N"
"2018-01",119071,3,"BUSINESS","2011-03-25","3+","RENEWED BASE","2018-01-18","2018-01-18","2019-01-08","BASE","BASE","N","2015-10-15","N","N"
"2018-01",118072,2,"SAVINGS","2011-01-30","3+","UNRENEWED","2016-12-19","?","2018-01-30","BASE","?","N","?","N","N"
"2018-01",232200,3,"BUSINESS","2017-01-19","1","UNRENEWED","2017-01-19","?","2018-01-19","PLUS","?","Y","?","N","N"
"2018-01",59612,2,"SAVINGS","2006-01-21","3+","RENEWED BASE","2018-01-27","2018-01-27","2019-01-21","BASE","BASE","N","?","N","N"
"2018-01",178323,2,"SAVINGS","2015-01-23","3","UNRENEWED","2017-01-23","?","2018-01-23","PLUS","?","Y","?","N","N"
"2018-01",98677,2,"SAVINGS","2000-01-13","3+","RENEWED PLUS","2017-11-02","2017-11-02","2019-01-12","PLUS","PLUS","Y","2014-06-20","N","N"
"2018-01",70874,2,"SAVINGS","2007-01-12","3+","RENEWED PLUS","2017-12-16","2017-12-16","2019-01-18","PLUS","PLUS","Y","2012-04-23","N","N"
"2018-01",19002,2,"SAVINGS","2002-03-29","3+","UNRENEWED","2017-01-18","?","2018-01-18","BASE","?","N","?","N","N"
"2018-01",134047,2,"SAVINGS","2012-07-27","3+","UNRENEWED","2017-03-10","?","2018-01-16","PLUS","?","Y","2016-09-22","N","N"
"2018-01",142602,2,"SAVINGS","2013-01-20","3+","UNRENEWED","2017-01-20","?","2018-01-20","BASE","?","N","?","N","N"
"2018-01",146742,2,"SAVINGS","2013-06-18","3+","UNRENEWED","2017-01-09","?","2018-01-09","BASE","?","N","?","N","N"
"2018-01",180067,2,"SAVINGS","2015-01-27","3","RENEWED PLUS","2018-01-27","2018-01-24","2019-01-27","PLUS","PLUS","Y","2015-11-28","Y","N"
"2018-01",236462,2,"SAVINGS","2017-01-22","1","UNRENEWED","2017-01-22","?","2018-01-22","BASE","?","N","?","N","N"
"2018-01",135950,2,"SAVINGS","2012-10-25","3+","UNRENEWED","2017-02-04","?","2018-01-17","BASE","?","N","?","N","N"
"2018-01",174784,2,"SAVINGS","2015-01-13","3","RENEWED BASE","2018-01-24","2018-01-24","2019-01-13","BASE","BASE","N","?","N","N"
"2018-01",187449,2,"SAVINGS","2016-01-02","2","RENEWED PLUS","2016-01-02","2017-12-28","2019-01-02","PLUS","PLUS","Y","?","N","N"
"2018-01",191705,2,"SAVINGS","2016-01-09","2","RENEWED PLUS","2018-01-07","2018-01-07","2019-01-09","PLUS","PLUS","Y","2016-01-16","N","N"
"2018-01",147373,3,"BUSINESS","2013-07-26","3+","UNRENEWED","2017-01-12","?","2018-01-08","BASE","?","N","?","N","N"
"2018-01",245832,2,"SAVINGS","2017-01-28","1","RENEWED PLUS","2018-01-28","2018-01-25","2019-01-28","PLUS","PLUS","Y","?","Y","N"
"2018-01",157514,2,"SAVINGS","2014-01-18","3+","RENEWED BASE","2018-02-09","2018-02-09","2019-01-18","BASE","BASE","N","?","N","N"
